,0
V258,0.14870538
V70,0.07564328
V91,0.061688837
V201,0.051051788
V14,0.039164495
V29,0.023634056
V294,0.018301547
addr2,0.013582005
id_35,0.010670741
V287,0.009558549
C14,0.007025713
V200,0.006666629
V284,0.0059663965
V317,0.0059112245
C8,0.005605734
id_17,0.005122606
card6,0.0051149763
C3,0.0050822473
V128,0.0043461975
V195,0.004228641
V187,0.0037717195
V283,0.0036141523
C10,0.0034091983
V172,0.003402655
V109,0.0033649106
C13,0.0032266283
V117,0.0031573204
ProductCD,0.0030959246
V296,0.0030224493
V312,0.0030177445
V285,0.0029317215
card3,0.0029203962
V243,0.002916461
V93,0.0029139107
V71,0.0028928602
D2,0.002833872
V173,0.0028310954
V49,0.002824475
D3,0.0028231312
V244,0.0027913195
V90,0.002761408
V23,0.0027100854
C11,0.002697514
V94,0.0026807922
V83,0.0026596775
C12,0.002655389
C1,0.0026528086
V102,0.0026162073
V227,0.0025600311
V97,0.0025181726
C6,0.0024835684
V11,0.002465458
V25,0.0024609645
id_12,0.002454016
V76,0.0024264045
D1,0.0024250832
V64,0.002415625
V7,0.002378173
V189,0.0023510624
V133,0.0023333284
V48,0.0023296592
V63,0.0023144945
V131,0.0023127256
V308,0.0023104697
DeviceType,0.002309402
V58,0.0023076355
V124,0.0023040168
C9,0.0023016
D15,0.00229456
V315,0.0022890202
V87,0.002288548
V268,0.0022175633
C5,0.0021984663
V45,0.002159743
M4,0.0021287086
V321,0.0021244278
V248,0.0021186492
V301,0.002102971
V67,0.0020897645
R_emaildomain,0.0020829819
V81,0.0020808436
V54,0.0020714388
V116,0.0020678476
V55,0.002055335
M5,0.0020550475
V320,0.0020517898
V310,0.0020416498
V281,0.0020405913
V251,0.002037013
M6,0.0020314783
C2,0.0020251707
V82,0.002022422
card1_mean_amt,0.0019906708
V66,0.0019859732
V26,0.0019756723
M3,0.0019736602
V35,0.0019489566
V311,0.0019290744
V99,0.0018972284
D4,0.0018935064
V38,0.0018900492
V24,0.0018800186
V22,0.0018784484
V106,0.0018674047
V300,0.0018646566
V9,0.0018608087
V62,0.0018417959
V136,0.0018210463
V31,0.001814767
V6,0.0017974598
V19,0.0017894612
V53,0.0017797465
V56,0.001772979
TransactionAmt,0.0017725202
V235,0.0017715328
P_emaildomain,0.0017554216
V130,0.0017540319
card5,0.001733897
V135,0.001733226
card1_freq,0.0017264913
D10,0.0017088405
V43,0.0017081168
D11,0.0017059979
V319,0.0017019726
V69,0.001691386
D5,0.0016911238
V30,0.0016838362
id_11,0.0016792158
V240,0.0016747235
V75,0.0016742575
V231,0.0016717976
dist1,0.0016670112
V13,0.0016659744
V210,0.0016623985
V209,0.0016586151
V51,0.0016503923
V184,0.0016413577
id_37,0.0016379502
card1,0.0016203261
V183,0.001618443
card2,0.0016085001
V36,0.0016082053
id_38,0.0016054065
V286,0.0015950368
V79,0.0015843068
M9,0.001581376
V2,0.0015663786
C7,0.0015661988
C4,0.001566167
V307,0.0015644191
addr1,0.0015631675
card1_tx_count,0.0015543541
V85,0.0015436156
V182,0.0015426434
id_36,0.0015387461
TransactionAmt_log,0.0015378911
V272,0.0015365543
V171,0.0015359902
V261,0.0015317553
V108,0.0015288668
V52,0.0015279393
V10,0.001524383
V73,0.0015222406
V20,0.0015131393
card4,0.0015005477
V115,0.0014997902
TransactionDT,0.001493013
V127,0.0014865362
V290,0.0014835094
amt_diff,0.001473526
V313,0.0014655638
V314,0.0014631698
M7,0.0014551647
V126,0.0014516122
V318,0.0014379949
V137,0.0014287956
V225,0.0014264026
V12,0.0014169746
id_05,0.0014151387
V288,0.0014135829
V192,0.0014089341
id_06,0.0013996809
id_16,0.001399098
M2,0.0013916382
V125,0.0013707593
id_15,0.001367548
V50,0.0013672236
V266,0.0013630885
V250,0.0013627764
V299,0.0013575089
V217,0.0013355362
V86,0.001334191
M8,0.0013296711
V289,0.0013281798
V262,0.0013208714
V44,0.0013181476
V211,0.0013151765
V219,0.0013141156
V309,0.0013137199
V298,0.0013132003
V134,0.0013091839
V129,0.0013071734
id_13,0.0012966847
V96,0.0012889192
V5,0.0012765869
V47,0.00127412
V206,0.0012558902
V306,0.0012533017
V180,0.0012516339
V59,0.0012505555
V292,0.0012425565
V255,0.0012401154
id_31,0.001233649
V179,0.0012299878
V46,0.0012297996
V263,0.0012259388
V77,0.0012253522
V3,0.0012253445
V256,0.001222968
V105,0.0012216925
V282,0.0012070751
V174,0.0012017078
V74,0.0011967972
id_20,0.0011935533
V226,0.0011796649
Transaction_hour,0.0011785115
V78,0.001176964
V316,0.0011760041
V34,0.0011672445
V1,0.0011663103
V221,0.0011602064
V234,0.0011600245
V80,0.0011567698
DeviceInfo,0.0011536736
V170,0.0011513997
V279,0.0011457992
V37,0.0011419391
id_28,0.0011346529
V291,0.0011312786
id_02,0.0011155431
V247,0.0011108471
V61,0.0011070733
V293,0.0011049047
V112,0.0011039237
V103,0.0011029918
id_01,0.0011021853
V60,0.0011016757
V203,0.0010986958
V304,0.0010804458
V185,0.0010799771
V208,0.0010760496
V4,0.0010751738
M1,0.0010737584
V123,0.001072419
V302,0.0010692086
